day,month,year,temp,RH,wind,rain,FFMC,DMC,DC,ISI,area
1,6,2012,29,57,18,0,65.7,3.4,7.6,1.3,0.5
2,6,2012,29,61,13,1.3,64.4,4.1,7.6,1,0.4
3,6,2012,26,82,22,13.1,47.1,2.5,7.1,0.3,0.1
4,6,2012,25,89,13,2.5,28.6,1.3,6.9,0,0
5,6,2012,27,77,16,0,64.8,3,14.2,1.2,0.5
6,6,2012,31,67,14,0,82.6,5.8,22.2,3.1,2.5
7,6,2012,33,54,13,0,88.2,9.9,30.5,6.4,7.2
8,6,2012,30,73,15,0,86.6,12.1,38.3,5.6,7.1
9,6,2012,25,88,13,0.2,52.9,7.9,38.8,0.4,0.3
10,6,2012,28,79,12,0,73.2,9.5,46.3,1.3,0.9
11,6,2012,31,65,14,0,84.5,12.5,54.3,4,5.6
12,6,2012,26,81,19,0,84,13.8,61.4,4.8,7.1
13,6,2012,27,84,21,1.2,50,6.7,17,0.5,0.2
14,6,2012,30,78,20,0.5,59,4.6,7.8,1,0.4
15,6,2012,28,80,17,3.1,49.4,3,7.4,0.4,0.1
16,6,2012,29,89,13,0.7,36.1,1.7,7.6,0,0
17,6,2012,30,89,16,0.6,37.3,1.1,7.8,0,0
18,6,2012,31,78,14,0.3,56.9,1.9,8,0.7,0.2
19,6,2012,31,55,16,0.1,79.9,4.5,16,2.5,1.4
20,6,2012,30,80,16,0.4,59.8,3.4,27.1,0.9,0.4
21,6,2012,30,78,14,0,81,6.3,31.6,2.6,2.2
22,6,2012,31,67,17,0.1,79.1,7,39.5,2.4,2.3
23,6,2012,32,62,18,0.1,81.4,8.2,47.7,3.3,3.8
24,6,2012,32,66,17,0,85.9,11.2,55.8,5.6,7.5
25,6,2012,31,64,15,0,86.7,14.2,63.8,5.7,8.4
26,6,2012,31,64,18,0,86.8,17.8,71.8,6.7,10.6
27,6,2012,34,53,18,0,89,21.6,80.3,9.2,15
28,6,2012,32,55,14,0,89.1,25.5,88.5,7.6,13.9
29,6,2012,32,47,13,0.3,79.9,18.4,84.4,2.2,3.9
30,6,2012,33,50,14,0,88.7,22.9,92.8,7.2,12.9
1,7,2012,29,68,19,1,59.9,2.5,8.6,1.1,0.4
2,7,2012,27,75,19,1.2,55.7,2.4,8.3,0.8,0.3
3,7,2012,32,76,20,0.7,63.1,2.6,9.2,1.3,0.5
4,7,2012,33,78,17,0,80.1,4.6,18.5,2.7,1.7
5,7,2012,33,66,14,0,85.9,7.6,27.9,4.8,4.9
6,7,2012,32,63,14,0,87,10.9,37,5.6,6.8
7,7,2012,35,64,18,0.2,80,9.7,40.4,2.8,3.2
8,7,2012,33,68,19,0,85.6,12.5,49.8,6,8
9,7,2012,32,68,14,1.4,66.6,7.7,9.2,1.1,0.6
10,7,2012,33,69,13,0.7,66.6,6,9.3,1.1,0.5
11,7,2012,33,76,14,0,81.1,8.1,18.7,2.6,2.2
12,7,2012,31,75,13,0.1,75.1,7.9,27.7,1.5,0.9
13,7,2012,34,81,15,0,81.8,9.7,37.2,3,3.4
14,7,2012,34,61,13,0.6,73.9,7.8,22.9,1.4,0.8
15,7,2012,30,80,19,0.4,60.7,5.2,17,1.1,0.5
16,7,2012,28,76,21,0,72.6,7,25.5,0.7,0.4
